seed,final_train_acc,final_eval_acc,generalization_gap,final_train_loss,final_eval_loss,wall_time_seconds,git_commit,run_dir
1,1.0,0.7366,0.26339999999999997,0.04887543354034424,0.7430230442047119,17.63086700439453,571b359a071f23e27913d045be91a9b3afd7b9f2,/Users/bytedance/EE509/runs/baseline/seed_1
2,1.0,0.7495,0.25049999999999994,0.047722996205091475,0.706245621061325,15.134093046188354,571b359a071f23e27913d045be91a9b3afd7b9f2,/Users/bytedance/EE509/runs/baseline/seed_2
3,1.0,0.7426,0.25739999999999996,0.0467132346779108,0.7173922370910645,15.980247974395752,571b359a071f23e27913d045be91a9b3afd7b9f2,/Users/bytedance/EE509/runs/baseline/seed_3
42,1.0,0.7479,0.2521,0.04740034813284874,0.7144609909057618,15.433230876922607,571b359a071f23e27913d045be91a9b3afd7b9f2,/Users/bytedance/EE509/runs/baseline/seed_42
99,1.0,0.7508,0.24919999999999998,0.04687473866939545,0.7021778527259827,18.52228617668152,571b359a071f23e27913d045be91a9b3afd7b9f2,/Users/bytedance/EE509/runs/baseline/seed_99
